Station,Line,Order of Points,Longitude,Latitude,Traffic,Color,Point Color
Pinar de Chamartin,Linea 1,1,"-3,66706111","40,48013631",6.222.074,#40c1ea,#40c1ea
Bambú,Linea 1,2,"-3,676373739","40,47687195",1.220.848,#40c1ea,#40c1ea
Chamartín,Linea 1,3,"-3,682768126","40,47213836",8.797.197,#40c1ea,#FFFFFF
Plaza de Castilla,Linea 1,4,"-3,689162512","40,4668494",25.135.236,#40c1ea,#FFFFFF
Valdeacederas,Linea 1,5,"-3,695127745","40,46440066",3.877.235,#40c1ea,#40c1ea
Tetuán,Linea 1,6,"-3,697831412","40,46120085",5.039.721,#40c1ea,#40c1ea
Estrecho,Linea 1,7,"-3,702766676","40,45457217",7.040.773,#40c1ea,#40c1ea
Alvarado,Linea 1,8,"-3,703505801","40,45020706",3.173.254,#40c1ea,#40c1ea
Cuatro Caminos,Linea 1,9,"-3,703977869","40,44700657",16.091.690,#40c1ea,#FFFFFF
Ríos Rosas,Linea 1,10,"-3,701531695","40,44135635",2.959.853,#40c1ea,#40c1ea
Iglesia,Linea 1,11,"-3,698774046","40,43489816",4.470.158,#40c1ea,#40c1ea
Bilbao,Linea 1,12,"-3,702228731","40,42903458",8.467.553,#40c1ea,#FFFFFF
Tribunal,Linea 1,13,"-3,70116243","40,42613342",13.521.895,#40c1ea,#FFFFFF
Gran Vía,Linea 1,14,"-3,701613041","40,41987424",7.180.340,#40c1ea,#FFFFFF
Sol,Linea 1,15,"-3,702793213","40,41686834",49.567.085,#40c1ea,#FFFFFF
Tirso de Molina,Linea 1,16,"-3,704359623","40,41237559",5.317.945,#40c1ea,#40c1ea
Antón Martín,Linea 1,17,"-3,699402901","40,41248995",3.642.276,#40c1ea,#40c1ea
Estación del Arte,Linea 1,18,"-3,692514988","40,40900991",3.000.335,#40c1ea,#40c1ea
Atocha,Linea 1,19,"-3,689417845","40,40657541",11.088.992,#40c1ea,#40c1ea
Menéndez Pelayo,Linea 1,20,"-3,680742777","40,40453297",2.819.370,#40c1ea,#40c1ea
Pacífico,Linea 1,21,"-3,674777864","40,40175113",18.460.266,#40c1ea,#FFFFFF
Puente de Vallecas,Linea 1,22,"-3,668939103","40,39853123",6.114.428,#40c1ea,#40c1ea
Nueva Numancia,Linea 1,23,"-3,664390076","40,39581853",6.293.417,#40c1ea,#40c1ea
Portazgo,Linea 1,24,"-3,658907634","40,39288919",3.704.812,#40c1ea,#40c1ea
Buenos Aires,Linea 1,25,"-3,653950912","40,39154908",2.559.265,#40c1ea,#40c1ea
Alto del Arenal,Linea 1,26,"-3,64546746","40,38989209",3.085.187,#40c1ea,#40c1ea
Miguel Hernández,Linea 1,27,"-3,639738261","40,38737518",3.376.134,#40c1ea,#40c1ea
Sierra de Guadalupe	,Linea 1,28,"-3,625030273","40,38255355",3.784.554,#40c1ea,#40c1ea
Villa de Vallecas,Linea 1,29,"-3,621232265","40,37966041",2.809.186,#40c1ea,#40c1ea
Congosto,Linea 1,30,"-3,618721717","40,37217363",2.126.737,#40c1ea,#40c1ea
La Gavia,Linea 1,31,"-3,612606281","40,369231",1.562.859,#40c1ea,#40c1ea
Las Suertes,Linea 1,32,"-3,599602932","40,36321456",2.973.165,#40c1ea,#40c1ea
Valdecarros,Linea 1,33,"-3,59316563","40,36010803",1.227.630,#40c1ea,#40c1ea
Las Rosas,Linea 2,1,"-3,603045624","40,42375139",1.631.966,#ff3820,#ff3820
Avenida de Guadalajara,Linea 2,2,"-3,611886184","40,42233839",1.752.368,#ff3820,#ff3820
Alsacia,Linea 2,3,"-3,623206618","40,41859049",2.573.177,#ff3820,#ff3820
La Almudena,Linea 2,4,"-3,639192584","40,42362092",1.745.372,#ff3820,#ff3820
La Elipa,Linea 2,5,"-3,650618775","40,42649584",4.106.739,#ff3820,#ff3820
Ventas,Linea 2,6,"-3,663536293","40,43110198",6.716.718,#ff3820,#FFFFFF
Manuel Becerra,Linea 2,7,"-3,669204739","40,42790792",9.284.711,#ff3820,#FFFFFF
Goya,Linea 2,8,"-3,675856618","40,42457569",11.522.464,#ff3820,#FFFFFF
Príncipe de Vergara,Linea 2,9,"-3,679847745","40,4230892",8.324.742,#ff3820,#FFFFFF
Retiro,Linea 2,10,"-3,685877351","40,42073689",3.612.177,#ff3820,#ff3820
Banco de España,Linea 2,11,"-3,69510415","40,41910329",3.745.138,#ff3820,#ff3820
Sevilla,Linea 2,12,"-3,699403086","40,4178944",1.661.555,#ff3820,#ff3820
Sol,Linea 2,13,"-3,702793213","40,41686834",49.567.085,#ff3820,#FFFFFF
Ópera,Linea 2,14,"-3,709330457","40,41823746",14.850.637,#ff3820,#FFFFFF
Santo Domingo,Linea 2,15,"-3,707899257","40,42144524",1.957.718,#ff3820,#ff3820
Noviciado,Linea 2,16,"-3,707427188","40,42486766",3.478.374,#ff3820,#ff3820
San Bernardo,Linea 2,17,"-3,706032439","40,42986592",4.354.814,#ff3820,#FFFFFF
Quevedo,Linea 2,18,"-3,70427291","40,43314889",3.689.722,#ff3820,#ff3820
Canal,Linea 2,19,"-3,704337283","40,43821445",8.798.589,#ff3820,#FFFFFF
Cuatro Caminos,Linea 2,20,"-3,703977869","40,44700657",16.091.690,#ff3820,#FFFFFF
Moncloa,Linea 3,1,"-3,719117747","40,43454151",29.762.478,#ffce36,#FFFFFF
Argüelles,Linea 3,2,"-3,716055779","40,43059028",14.590.179,#ffce36,#FFFFFF
Ventura Rodríguez,Linea 3,3,"-3,713588147","40,42701317",2.143.241,#ffce36,#ffce36
Plaza de España,Linea 3,4,"-3,710927396","40,42369283",17.006.552,#ffce36,#FFFFFF
Callao,Linea 3,5,"-3,705670266","40,42026238",15.303.823,#ffce36,#FFFFFF
Sol,Linea 3,6,"-3,702793213","40,41686834",49.567.085,#ffce36,#FFFFFF
Lavapiés,Linea 3,7,"-3,700756459","40,40848315",5.080.616,#ffce36,#ffce36
Embajadores,Linea 3,8,"-3,702194123","40,40464342",8.490.055,#ffce36,#ffce36
Palos de la Frontera,Linea 3,9,"-3,693954377","40,40291139",3.471.551,#ffce36,#ffce36
Delicias,Linea 3,10,"-3,694104581","40,39975767",4.767.471,#ffce36,#ffce36
Legazpi,Linea 3,11,"-3,695134549","40,39114152",18.313.451,#ffce36,#FFFFFF
Almendrales,Linea 3,12,"-3,698095708","40,38395022",3.471.372,#ffce36,#ffce36
Hospital 12 de Octubre,Linea 3,13,"-3,695821195","40,37540139",2.960.698,#ffce36,#ffce36
San Fermín-Orcasur,Linea 3,14,"-3,694383531","40,3697615",3.514.558,#ffce36,#ffce36
Ciudad de los Ángeles,Linea 3,15,"-3,693661806","40,35972844",4.318.632,#ffce36,#ffce36
Villaverde Bajo-Cruce,Linea 3,16,"-3,692524549","40,35094759",5.896.901,#ffce36,#ffce36
San Cristóbal,Linea 3,17,"-3,692796277","40,34142482",2.662.348,#ffce36,#ffce36
Villaverde Alto,Linea 3,18,"-3,711905936","40,34158254",4.325.654,#ffce36,#ffce36
Argüelles,Linea 4,1,"-3,716055779","40,43059028",14.590.179,#a9572d,#FFFFFF
San Bernardo,Linea 4,2,"-3,706032439","40,42986592",4.354.814,#a9572d,#FFFFFF
